1	NaN
2	NaN
3	NaN
4	NaN
5	NaN
6	NaN
7	2.40879807016848
8	4.83853775831241
9	6.42901776726106
10	7.71854949282701
11	8.84050389823844
12	9.85293326119555
13	10.7873347615341
14	11.6630786324931
15	12.4931006289511
16	13.2865648112703
17	14.0502609504898
18	14.7894019348202
19	15.5081089232662
20	16.2097219417437
21	16.8970071899984
22	17.5723003383554
23	18.2376086099353
24	18.8946854639866
25	19.5450865700497
26	20.1902127184146
27	20.8313434419898
28	21.4696639416834
29	22.1062871404107
30	22.7422721833828
31	23.3786403613904
32	24.016389202715
33	24.656505322863
34	25.2999765173782
35	25.9478035176037
36	26.601011793911
37	27.2606637807795
38	27.9278719112594
39	28.6038128852492
40	29.2897436595482
41	29.9870197434457
42	30.6971165208205
43	31.4216545123869
44	32.1624297609203
45	32.921450899796
46	33.7009849991818
47	34.5036150490239
48	35.3323130500138
49	36.1905343294807
50	37.0823411842498
51	38.0125677912667
52	38.9870444108205
53	40.0129088346592
54	41.0990497774918
55	42.2567562605629
56	43.5007008192762
57	44.8504882400433
58	46.3332151960404
59	47.9879609248788
